stockCode,stockName,changeReason,changeDate
000015,PT中浩A,暂停上市,2000-05-12 00:00:00
000015,ST中浩A,实施其他风险警示,1998-05-04 00:00:00
000015,深中浩A,简称变更,1993-04-18 00:00:00
000015,深中厨A,新上市,1992-06-25 00:00:00
000016,深康佳A,简称变更,2006-10-09 00:00:00
000016,G康佳A,简称变更,2006-03-30 00:00:00
000016,深康佳A,新上市,1992-03-27 00:00:00
000017,深中华A,撤销退市风险警示,2021-06-22 00:00:00
000017,*ST中华A,被实行退市风险警示,2020-04-29 00:00:00
000017,深中华A,撤销退市风险警示,2014-05-14 00:00:00
000017,*ST中华A,实施退市风险警示特别处理,2010-04-28 00:00:00
000017,ST中华A,简称变更,2010-03-18 00:00:00
000017,SST中华A,撤消退市风险警示,2007-02-09 00:00:00
000017,S*ST中华,未完成股改公司冠以“S”标记,2006-10-09 00:00:00
000017,*ST中华A,实施退市风险警示,2005-05-09 00:00:00
000017,ST中华A,实施其他风险警示,1999-05-04 00:00:00
000017,深中华A,新上市,1992-03-31 00:00:00
000018,神城A退,进入退市整理期,2019-11-25 00:00:00
000018,*ST神城,实施退市风险警示,2019-05-06 00:00:00
000018,神州长城,变更公司名称,2015-12-07 00:00:00
000018,中冠A,撤销退市风险警示,2014-03-13 00:00:00
000018,*ST中冠A,实行退市风险警示特别,2013-04-24 00:00:00
000018,ST中冠A,撤销退市风险警示及实施其他风险警示,2010-05-31 00:00:00
000018,*ST中冠A,实施退市风险警示,2009-04-24 00:00:00
000018,ST中冠A,实施其他风险警示,2007-08-28 00:00:00
000018,深中冠A,简称变更,2006-10-09 00:00:00
000018,G深中冠,简称变更,2006-06-16 00:00:00
000018,深中冠A,新上市,1992-06-16 00:00:00
000019,深粮控股,变更公司名称,2019-02-28 00:00:00
000019,深深宝A,简称变更,2006-10-09 00:00:00
000019,G深宝A,简称变更,2006-07-27 00:00:00
000019,深深宝A,新上市,1992-10-12 00:00:00
000020,深华发A,撤销其他风险警示,2009-05-19 00:00:00
000020,ST华发A,简称变更,2007-05-18 00:00:00
000020,SST华发A,实施其他特别处理,2006-11-22 00:00:00
000020,S*ST华发,未完成股改公司冠以“S”标记,2006-10-09 00:00:00
000020,*ST华发A,实施退市风险警示,2005-04-29 00:00:00
000020,ST华发A,实施其他风险警示,2004-04-27 00:00:00
000020,深华发A,撤销其他风险警示,2000-03-29 00:00:00
000020,ST华发A,实施其他风险警示,1999-04-27 00:00:00
000020,深华发A,新上市,1992-04-28 00:00:00
000021,深科技,简称变更,2015-01-05 00:00:00
000021,长城开发,公司更名,2006-10-27 00:00:00
