industryCode,industryName,industryType,industryLevel,indexCode
710401,垂直应用软件,INDUS4CL,3,851041
710402,横向通用软件,INDUS4CL,3,851042
720000,传媒,INDUS4CL,1,801760
720400,游戏Ⅱ,INDUS4CL,2,801764
720401,游戏Ⅲ,INDUS4CL,3,857641
720500,广告营销,INDUS4CL,2,801765
720501,营销代理,INDUS4CL,3,857651
720502,广告媒体,INDUS4CL,3,857652
720600,影视院线,INDUS4CL,2,801766
720601,影视动漫制作,INDUS4CL,3,857661
720602,院线,INDUS4CL,3,857662
720700,数字媒体,INDUS4CL,2,801767
720701,视频媒体,INDUS4CL,3,857671
720702,音频媒体,INDUS4CL,3,857672
720703,图片媒体,INDUS4CL,3,857673
720704,门户网站,INDUS4CL,3,857674
720705,文字媒体,INDUS4CL,3,857675
720706,其他数字媒体,INDUS4CL,3,857676
720800,社交Ⅱ,INDUS4CL,2,801768
720801,社交Ⅲ,INDUS4CL,3,857681
720900,出版,INDUS4CL,2,801769
720901,教育出版,INDUS4CL,3,857691
720902,大众出版,INDUS4CL,3,857692
720903,其他出版,INDUS4CL,3,857693
721000,电视广播Ⅱ,INDUS4CL,2,801995
721001,电视广播Ⅲ,INDUS4CL,3,859951
730000,通信,INDUS4CL,1,801770
730100,通信服务,INDUS4CL,2,801223
730102,电信运营商,INDUS4CL,3,852212
730103,通信工程及服务,INDUS4CL,3,852213
730104,通信应用增值服务,INDUS4CL,3,852214
730200,通信设备,INDUS4CL,2,801102
730204,通信网络设备及器件,INDUS4CL,3,851024
730205,通信线缆及配套,INDUS4CL,3,851025
730206,通信终端及配件,INDUS4CL,3,851026
730207,其他通信设备,INDUS4CL,3,851027
740000,煤炭,INDUS4CL,1,801950
740100,煤炭开采,INDUS4CL,2,801951
740101,动力煤,INDUS4CL,3,859511
740102,焦煤,INDUS4CL,3,859512
740200,焦炭Ⅱ,INDUS4CL,2,801952
740201,焦炭Ⅲ,INDUS4CL,3,859521
750000,石油石化,INDUS4CL,1,801960
750100,油气开采Ⅱ,INDUS4CL,2,801961
750101,油气开采Ⅲ,INDUS4CL,3,859611
750200,油服工程,INDUS4CL,2,801962
750201,油田服务,INDUS4CL,3,859621
750202,油气及炼化工程,INDUS4CL,3,859622
750300,炼化及贸易,INDUS4CL,2,801963
750301,炼油化工,INDUS4CL,3,859631
750302,油品石化贸易,INDUS4CL,3,859632
750303,其他石化,INDUS4CL,3,859633
760000,环保,INDUS4CL,1,801970
760100,环境治理,INDUS4CL,2,801971
760101,大气治理,INDUS4CL,3,859711
760102,水务及水治理,INDUS4CL,3,859712
760103,固废治理,INDUS4CL,3,859713
760104,综合环境治理,INDUS4CL,3,859714
760200,环保设备Ⅱ,INDUS4CL,2,801972
760201,环保设备Ⅲ,INDUS4CL,3,859721
770000,美容护理,INDUS4CL,1,801980
770100,个护用品,INDUS4CL,2,801981
770101,生活用纸,INDUS4CL,3,859811
770102,洗护用品,INDUS4CL,3,859812
770200,化妆品,INDUS4CL,2,801982
770201,化妆品制造及其他,INDUS4CL,3,859821
770202,品牌化妆品,INDUS4CL,3,859822
770300,医疗美容,INDUS4CL,2,801983
770301,医美耗材,INDUS4CL,3,859831
770302,医美服务,INDUS4CL,3,859832
